Name,ISIN,TF_Indication,Symbol,Symbol_PortfVis
Flughafen Wien AG,AT00000VIE62,EI,,
Flughafen Zürich AG,CH0319416936,CHI,,FLGZY
Fluidra S.A.,ES0137650018,EI,,
Flutter Entertainment PLC (Paddy Power Betfair),IE00BWT6H894,EI,,PDYPY
fmc,,,,
foot locker,,,,
Ford Motor,US3453708600,DI,F,
Formycon AG,DE000A1EWVY8,EI,,
Fortinet,US34959E1091,DI,FTNT,
Fortis Inc,,,,
Fortive Corp,,,,
Fortnox AB,,,,
Fortune Brands Home & Security Inc.,US34964C1062,DI,FBIN,
Forvia SE,FR0000121147,EI,,
Forward Air Corp,US3498531017,DI,FWRD,
Fox Corp. (A),US35137L1052,DI,FOXA,
Fox Factory Holding Corp.,US35138V1026,DI,FOXF,
Foxconn Interconnect Technology Ltd.,KYG3R83K1037,DI,,
Fraport AG,DE0005773303,EI,,FPRUY
Freedom Holding,DE000A0Z2ZZ5,EI,,
Freenet AG,DE000A0Z2ZZ5,EI,,FRTAF
Freeport-McMoran,US35671D8570,DI,FCX,
Fresenius Medical Care AG,DE0005785802,EI,FMS,
Fresenius SE & Co. KgaA,DE0005785604,EI,,FSNUY
Fresnillo PLC,GB00B2QPKJ12,GPI,,
Friedman Ind,US3584351056,DI,FRD,
Friedrich Vorwerk Grp SE,,,,
Frontline Plc,,,,
Frosta AG,,,,
fs kkr capital,US3026352068,DI,FSK,
FTI Consulting,US3029411093,DI,FCN,
Fuchs Petrolub,DE000A3E5D64,EI,,FUPBY
Fugro N.V.,NL00150003E1,EI,,
Fujifilm Holdings Corp.,JP3814000000,EI,,FUJIY
Fujikura,JP3811000003,EI,,
Gamestop Corp,,,,
gaming and leisure,,,,
Gannett,,,,
Garmin,CH0114405324,CHI,GRMN,
Gartner Inc.,US3666511072,DI,IT,
Gaztransport Technigaz SAS,FR0011726835,EI,,GZPZF
GE Aerospace (General Electrics),US3696043013,DI,,
GE Healthcare Tech,US36266G1076,DI,GEHC,
GEA Group AG,,,,
Geberit AG,,,,
Geely Auto,,,,
Gelsenwasser AG,,,,
Gemtek Tech,,,,
General Dynamics,US3695501086,DI,GD,
General Mills,,,,
general motors,,,,
Genergy Renovabli,,,,
Genmab A/S,DK0010272202,DKI,GMAB,
Genuine Parts,,,,
Gerresheimer,,,,
gestamp automation,,,,
getlnik,,,,
GFT Tech,,,,
gilead sciences,,,,
Gingko Bioworks,,,,
Gitlab,,,,
Givaudan,,,,
GK Software,,,,
Gladstone Comm,,,,
Gladstone Investment Corp.,US3765461070,DI,GAIN,
Gladstone Land Corp,,,,
Glencore,,,,
Global Blood Therapy,,,,
Global Cord Blood Corp,KYG393421030,DI,CO,
Global Dominion Access S.A.,ES0105130001,EI,,
Globalfoundries Inc.,KYG393871085,DI,,
Globant S.A.,LU0974299876,EI,GLOB,
Globe Life Inc.,US37959E1029,DI,GL,
Globus Medical,US3795772082,DI,GMED,
Goodyear Tire & Rubber Co. (The),US3825501014,DI,GT,
Goosehead Insurance,US38267D1090,DI,GSHD,
Graco Inc.,US3841091040,DI,GGG,
Graham Hldgs,,,,
graphic packaging,,,,
Great Panther Mining,,,,
Green Org Dutch (The),,,,
Greenlight Capital Re Ltd,,,,
GreenSky,,,,
Grenke AG,,,,
Griffon Corp,US3984331021,DI,GFF,
Grifols SA,,,,
Group 1 Automotive,,,,
groupe crit,,,,
GSK PLC ,GB00BN7SWP63,GPI,GSK,
Guangdong Investment Ltd.,HK0270001396,EI,,GGDVY
Guillemot Corp,,,,
Gulfport Energy Corp,,,,
GVS,,,,
h&r block,,,,
Haier Smart Home,,,,
Hallador,,,,
Halliburton,,,,
Hamburger Hafen und Logistik AG,DE000A0S8488,EI,,HHULY
Hannover Rueck SE,DE0008402215,EI,,HVRRY
Hapag-Lloyd AG,DE000HLAG475,EI,,HPGLY
Harmonic Inc.,US4131601027,DI,HLIT,
Hartford Financial Services Group (The),US4165186036,DI,HIG,
Hasbro Inc.,US4180561072,DI,HAS,
Hawaiian Electric Industries Inc.,US4198701009,DI,HE,
Hawesko,,,,
heidelb. Druckmasch.,,,,
Heidelberg Materials,,,,
Heidelbergcement,,,,
Heineken,,,,
hella gmbh,,,,
HelloFresh AG,,,,
Helma Eigenbau,,,,
Henkel AG,,,,
Hennes + Mauritz B (H&M),,,,
Heritage Insurance Hlgs,US42727J1025,DI,HRTG,
Hermes International S.A.,FR0000052292,EI,,HESAY
Hershey Co. (The),US4278661081,DI,HSY,
Hertz,US42806J7000,DI,HTZ,
Hess,US42809H1077,DI,HES,
Hexagon AB,SE0015961909,SKI,,HXGBY
Highwoods Properties Inc.,US4312841087,DI,HIW,
Hillenbrand Inc.,US4315711089,DI,HI,
Hims & Hers Health Inc.,US4330001060,DI,HIMS,
Hitachi Ltd,JP3788600009,EI,,HTHIY
HMS Industrial Networks AB,SE0009997018,SKI,,
Hochtief AG,DE0006070006,EI,,HOCFF
Holcim Ltd.,CH0012214059,CHI,,HCMLY
Home Depot,US4370761029,DI,HD,
Honda Motor Co. Ltd. (ADRs),US4381283088,DI,HMC,
Honeywell,US4404521001,DI,HON,
Hongkong Exchanges and Clearing Ltd.,HK0388045442,EI,,
Hongkong Land Holdings Ltd.,BMG4587L1090,EI,,HNGKY
HORIBA LTD,JP3853000002,EI,,
Hormel Foods Corp.,US4404521001,DI,HRL,
Host Hotels&Resorts,US44107P1049,DI,HST,
Hoya,JP3837800006,EI,,HOCPY
HSBC,,,,
Hubbell,,,,
Hugo Boss,,,,
Huhtamaeki OYJ,,,,
humana,,,,
Huntington Ingalls,US4464131063,DI,HII,
Huntsman,,,,
Hut 8,,,,
Hypoport SE,,,,
Hyundai Motor,,,,
Iberdrola S.A.,ES0144580Y14,EI,,IBDRY
Icon,IE0005711209,EI,ICLR,
Iczoom Grp,KYG4760B1005,DI,IZM,
IDEX CORP.,US45167R1041,DI,IEX,
Idexx Laboratories Inc.,US45168D1046,DI,IDXX,
Illinois Tool Works Inc.,US4523081093,DI,ITW,
Illumina Inc.,US4523271090,DI,ILMN,
imerys,,,,
Immofinanz,,,,
Immunogen,,,IMGN,
Imperial Brands,,,,
incyte,,,,
Ind. And Comm. Bank Of China,CNE1000003G1,EI,,IDCBY
Inditex,,,,
infineon,,,,
Infosys Ltd,,,,
Infrastrutture Wir,,,,
ingredion,,,,
Innogy SE,,,,
Innotec TSS,,,,
Innovative Indl Properties Inc.,US45781V1017,DI,IIPR,
Inpex Corp.,JP3294460005,DI,,IPXHY
Inpost,,,,
insight enterprises,,,,
Integra Lifescience,,,,
Intel,,,,
Intellia Therapeutics,,,,
Interactive Brokers,,,,
Intercos,,,,
International Business Machines Corp.,US4592001014,DI,IBM,
International Consolidated Airlines Group S.A.,,,,
Intertrust,,,,
Intesa Sanpaolo S.p.A.,,,,
Inti Innovation,,,,
Intuit Inc.,US4612021034,DI,INTU,
Intuitive Surgical Inc.,US46120E6023,DI,ISRG,
Investor AB,SE0015811963,SKI,,
iRobot Corp.,US4627261005,DI,IRBT,
Iron Mountain Inc.,US46284V1017,DI,IRM,
ISS,,,,
Isuzu Motors,,,,
italgas,,,,
ITM Power,GB00B0130H42,GPI,,ITMPF
Itochu Corp.,JP3143600009,DI,,ITOCY
Itron Inc,,,ITRI,
iveco group,,,,
J. Jill,,,,
J.M. Smucker,US8326964058,DI,SJM,
Jabil Inc.,US4663131039,DI,JBL,
Jack Henry & Associates Inc.,US4262811015,DI,JHKY,
Jakks Pacific Inc.,US47012E4035,DI,JAKK,
James Hardie Industries PLC (ADRs),AU000000JHX1,DI,JHX,
Japan Tobacco Inc.,JP3726800000,EI,,JAPAY
Jardine Matheson Holdings Ltd.,BMG507361001,DI,,JMHLY
JD.com Inc,US47215P1066,DI,JD,
Jetblue Airways Corp.,US4771431016,DI,JBLU,
JFE Hldgs,,,,
JinkoSolar,,,,
John Bean Tech,,,,
Johnson & Johnson,US4781601046,DI,JNJ,
JPMorgan Chase & Co.,US46625H1005,DI,JPM,
Jungfraujoch Bahn,CH0017875789,CHI,,JFBHF
Jungheinrich AG,DE0006219934,EI,,
Juniper Networks,US48203R1041,DI,JNPR,
Just Eat Takeaway.com N.V.,NL0012015705,EI,,TKAYF
Juventus Football Club S.p.A.,IT0000336518,EI,,
K+S AG,DE000KSAG888,EI,,
Kaiser Aluminum Corp.,US4830077040,DI,KALU,
Kao Corp,JP3205800000,DI,KAO,
Kazatomprom (GDRs),US63253R2013,DI,,
KDDI CORP.,JP3496400007,DI,KDDI,
Kellanova Co. (Kellogg Company),US4878361082,DI,K,
Keller Group PLC,GB0004866223,GPI,,
Kering,FR0000121485,EI,,PPRUY
Keurig Dr Pepper,US49271V1008,DI,KDP,
Kewaunee Scientific Corp.,US4928541048,DI,KEQU,
Keyence Corp.,JP3236200006,DI,,
KIA Corp,,,,
Kikkoman Corp,,,,
Kilroy Realty,,,,
Kimberly-Clark,US4943681035,DI,KMB,
Kinnevik AB,SE0015810247,SKI,,
KION GROUP AG,DE000KGX8881,EI,,KIGRY
KKR & Co. Corp.,US48251W1045,DI,KKR,
KLA(-Tencor| Corp|C|),US4824801009,DI,KLAC,
Kloeckner & Co. SE,DE000KC01000,DI,,KLKNF
KLX Energy Services Holdings Inc.,US48253L2051,DI,KLXE,
Knorr-Bremse AG,DE000KBX1006,EI,,KNRRY
Komatsu Ltd.,JP3304200003,DI,,KMTUY
KONE Corp. (New),FI0009013403,EI,,KNYJY
Kone Cranes,FI0009005870,EI,,KNCRY
Koninklijke Ahold Delhaize N.V.,NL0011794037,EI,,ADRNY
Koninklijke KPN N.V.,NL0000009082,EI,,KKPNY
Koninklijke PhilipsKoninklijke Philips N.V.,NL0000009538,EI,PHG,
Korea Electric Power Corp. (ADRs),US5006311063,DI,KEP,
Kosmos Energy Ltd,US5006881065,DI,KOS,
Kraft Heinz Co. (The),US5007541064,DI,KHC,
Kroger,US5010441013,DI,KR,
Krones AG,,,,
KSB SE,,,,
Kuehne + Nagel,,,,
Kurita Water Industries Ltd.,JP3270000007,EI,,
KWS SAAT SE & Co.KgaA,DE0007074007,EI,,
KYOWA KIRIN CO. LTD.,JP3254830007,EI,,
L.B. Foster Company,US3500601097,DI,FSTR,
L'Oreal S.A.,FR0000120321,EI,OR.PA,LRLCY
L3 Harris,,,,
l3 tech,,,,
Lab Corp of America,,,,
Laboratorios Farmaceuticos,,,,
Lam Research,US5128071082,DI,LRCX,
Lamb Weston,,,,
Landi Renzo,,,,
Lanxess AG,,,,
Las Vegas Sands,,,,
Lattice Semi,US5184151042,DI,LSCC,
laurent perrier,,,,
ldc,,,,
LEG Immobilien SE,,,,
Leidos Hldgs,,,,
Leifheit,,,,
LendingClub Corp.,,,,
Lenovo Grp,,,,
Lenzing,,,,
Leonardo S.p.A.,,,,
Levi Strauss And Co.,,,LEVI,
LG Innotek,,,,
Li-Cycle,,,,
liberta media,,,,
Liberty Energy,,,,
Liberty Global,,,,
Liberty Live,,,,
Life Storage,,,,
Lifevantage Corp,US53222K2050,DI,LFVN,
light wonder,,,,
Limbach Holdings,,,,
lincoln electric,,,,
Lindblad Expeditions Holdings Inc.,CH0010570767,CHI,LIND,
Linde,IE00BZ12WP82,EI,LIN,
Lindt & Sprüngli AG,CH0010570767,CHI,,
Linea Directa Aseguradora SA,ES0105546008,EI,,
Lithia Motors Inc,US5398301094,DI,,
Lithium Americas Corp,,,,
Live Nation Entertainment,,,,
Livent Corp,,,,
Lockheed Martin Corp.,CH0025751329,CHI,LMT,
logistra hold,GB00B0SWJX34,GPI,,
Logitech International S.A.,CH0013841017,CHI,LOGI,
London Stock Exchange Group PLC,US5486611073,DI,,LNSTY
Lonza Group AG,CH0013841017,CHI,,LZAGY
Lowe(`|'|)s Comp,US5486611073,DI,LOW,
LPKF Laser & Electronics SE,DE0006450000,EI,,
LS Starrett Company (The),US8556681091,DI,SCX,
LTC Properties,,,,
Lucid Group,,,,
Lufthansa,,,,
Lukoil SP ADR,,,,
LuLulemon Athletica,US5500211090,DI,LULU,
Lumibird,,,,
Luminar Tech,,,,
luve,,,,
LVMH Moet Hennessy Louis Vuitton SE,FR0000121014,EI,,LVMUY
Lyft Inc.,US55087P1049,DI,LYFT,
LyondellBasell Industries NV,NL0009434992,EI,LYB,
M3,JP3435750009,DI,,MTHRY
M6 Metropole Television S.A.,FR0000053225,EI,,
Macerich Company (The),US5543821012,DI,MAAC,
Macy's,US55616P1049,DI,M,
Madrigal Pharmaceuticals,US5588681057,DI,MDGL,
Magellan Midstream Partners LP,US5590801065,DI,MMP,
Magna International Inc.,CA5592224011,DI,MGA,
Magnolia Oil & Gas Corp,US5596631094,DI,MGY,
Maire Tecnimont S.p.A.,IT0004931058,DI,,
Mammoth Energy Services Inc.,US56155L1089,DI,TUSK,
Manitex Intl,US5634201082,DI,MNTX,
Marathon Digital Holdings,,,,
Marathon Oil Corp.,,,,
Marathon Petroleum,,,,
Marine Products,,,,
MarineMax,,,,
Markel,,,,
Marketwise Inc,US57064P1075,DI,MKTW,
Marks & Spencer Group PLC,GB0031274896,GPI,MAKSY,
Marriott International Inc.,US5719032022,DI,MAR,
Marsh & McLennan Cos. Inc.,US5717481023,DI,MMC,
Marubeni,,,,
Marvell Technology Inc.,,,,
MasTec,,,,
mastercard,,,,
Matador Res,,,,
Match Group Inc.,US57667L1070,DI,MTCH,
Matrix Service Co,US5768531056,DI,MTRX,
Mattel,,,,
Maxim Integrated Products,,,,
McCormick & Co,,,,
McDonald's Corp,US5801351017,DI,MCD,
McEwen Mining Inc. ,US58039P3055,DI,MUX,
McKesson Corp.,,,,
mcphy energy,,,,
Medical Properties,,,,
Medical Properties Trust Inc.,US58463J3041,DI,MPW,
Medifast Inc.,US58470H1014,DI,MED,
Medion,,,,
Medios AG,,,,
Medtronic,,,,
Meiko El,,,,
Meituan Dianping,,,,
Melrose Ind.,,,,
Mercadolibre,US58733R1023,DI,MELI,
Mercedes-Benz Group AG,DE0007100000,EI,,DMLRY
Merck & Co,US58933Y1055,DI,MRK,
Merck KGaA,DE0006599905,EI,,MKKGY
Mercury Systems,,,,
Merit Medical Systems,,,,
mersen (ex LCL),,,,
Meta Platform,,,,
metlife,,,,
Metro AG,,,,
Metrovacesa,,,,
MGE Energy,US55277P1049,DI,MGEE,
MGM Resorts,,,,
Micro Strategy,,,,
Microchip Technology,,,,
Micron Technology,,,,
Microship Technologies,,,,
Microsoft,US5949181045,DI,MSFT,
MicroStrategy Inc.,US5949724083,DI,MSTR,
Miniso,,,,
Mitsubishi Corp,,,,
Mitsubishi Heavy Motors,,,,
Mitsubishi Logistics,JP3902000003,DI,,
Mitsui & Co,JP3893600001,EI,,MITSF
MKS INSTRUMENTS INC.,US55306N1046,DI,MKSI,
Mo-BRUK S.A.,PLMOBRK00013,EI,,
Mocaic Company (The),US61945C1036,DI,MOS,
Moderna Inc,US60770K1079,DI,MRNA,
MOL Hungarian Oil and Gas Company Plc,HU0000153937,EI,,MGYOY
Molson Coors Brewing Co.,US60871R2094,DI,TAP,
Monday,,,,
Mondelez,,,,
Moneygram,,,,
mongodb inc,,,,
Monolithic Power Systems Inc.,US6098391054,DI,MPWR,
Monster Beverages,US61174X1090,DI,MNST,
Moody’s Corp,US6153691059,DI,MCO,
Morgan Stanley Inc.,US6174464486,DI,MS,
Morningstar,,,,
Morphosys,,,,
Mosaic,,,,
MOWI ASA,,,,
Mplx LP,,,,
mpt,,,,
MSC Industrial Direct Co Inc.,US5535301064,DI,MSM,
MSCI,US55354G1004,DI,MSCI,
MTU Aero Engines AG,DE000A0D9PT0,EI,,MTUAY
MTY Food Group,CA55378N1078,DI,,MTYFF
Mueller Industries Inc,,,,
muenchner rueck,,,,
Murata Mfg,,,,
Murphy Oil,,,,
Mutares SE & Co. KgaA,DE000A2NB650,EI,,
MVB Financial Corp.,US5538101024,DI,MVBF,
MVISE AG,,,,
MWB Fairtrade Wphdlsbk,,,,
Mynaric AG,,,,
Naga Group (The),,,,
Nasdaq,,,,
Naspers,,,,
National Bank of Canada,CA6330671034,DI,NA.TO,
National Grid PLC,US6362744095,DI,NGG,
National Retail Properties Inc. (NNN REIT),US6374171063,DI,NNN,
National Storage Affiliates Trust,US6378701063,DI,NSA,
Naturgy Energy Group S.A.,ES0116870314,EI,,GASNY
NEC Corp.,JP3733000008,EI,,NIPNF
Neinor Homes S.A.,ES0105251005,EI,,
Nel ASA,NO0010081235,NKI,,NLLSY
Nemetschek SE,DE0006452907,EI,,
Neste OYJ,FI0009013296,,,NTOIY
Nestle S.A.,CH0038863350,CHI,,NSRGY
NetApp Inc.,US64110D1046,DI,NTAP,
NetEase Inc. (ADRs),US64110W1027,DI,NTES,
Netflix,,,,
Neurocrine Bio,,,,
New Fortress Energy LLC,,,,
new work se,,,,
Newell Brands,,,,
Newmont Goldcorp,,,,
news corp,,,,
NEXANS,FR0000044448,EI,,
NexGen Energy Ltd.,CA65340P1062,DI,NXE,
Nexstar Media Group Inc.,US65336K1034,DI,NXST,
NextEra Energy,US65339F1012,DI,NEE,
NH Hotels Group SA,,,,
Nibe Ind.,,,,
Nidec,,,,
Nike,US6541061031,DI,NKE,
Nine Energy,,,,
Nintendo,,,,
Nio,,,,
Nippon Steel & Sumitomo Metal Corp.,JP3381000003,EI,,
Nippon Suisan Kaisha Ltd.,JP3718800000,EI,,
Nippon Telegraph and Telephone Corp. (NTT),JP3735400008,EI,,NTTYY
Nippon Yusen Kabushiki Kaisha (NYK Line),US6546333047,DI,,NPNYY
Nissan Motor Co. Ltd.,JP3672400003,EI,,NSANY
Nitto Denko Corp.,JP3684000007,EI,,NDEKY
NN Inc,US6293371067,DI,NNBR,
Nokia Corp,,,,
Nomad Foods,,,,
Noratis AG,,,,
Nordea Bank Abp,,,,
Norma Group,,,,
Northern Data,,,,
Northrop Grumman,US6668071029,DI,NOC,
Norwegian Cruise Line Holdings,BMG667211046,DI,NCLH,
NOV Inc.,US62955J1034,DI,NOV,
Novartis AG,CH0012005267,CHI,NVS,
Novo(-| )Nordisk,DK0060534915,DKI,NVO,
NTT Data Corp.,JP3165700000,EI,,NTDTY
Nu Holdings Ltd. ,KYG6683N1034,DI,NU,
NU SKIN ENTERPRISES INC.,US67018T1051,DI,NUS,
Nucor Corp.,US6703461052,DI,NUE,
Nutanix Inc.,US67059N1081,DI,NTNX,
Nvidia,US67066G1040,DI,NVDA,
NXP Semiconductors NV,NL0009538784,EI,NXPI,
O'Reilly Auto,US67103H1077,DI,ORLY,
Oatly Group AB,,,,
Ocado Group PLC,,,,
Occidental Petroleum,,,,
OCEANEERING INTERNATIONAL INC.,,,,
OCI,,,,
Okeanis Eco Tankers,,,,
Okta,,,,
Old Dominion Freight Line,US6795801009,DI,ODFL,
Old National Bancorp,US6800331075,DI,ONB,
Old Republic International Corp.,US6802231042,DI,ORI,
Olympique Lyonnais Groupe S.A.,FR0010428771,EI,,
Omega Healthcare,,,,
omnicom grp,,,,
Omron Group,,,,
OMV,,,,
OMV AG,,,,
on hldg,,,,
on semi,,,,
oneok,,,,
OneSpaWorld Holdings Ltd.,BSP736841136,DI,OSW,
ONO Pharmaceutical Co. Ltd.,JP3197600004,DI,,OPHLY
OPEN HOUSE CO. LTD.,JP3173540000,DI,,
Optex Systems Holdings Inc,US68384X2099,DI,,
Oracle Corp,US68389X1054,DI,ORLC,
Orange S.A.,,,,
Organova Tech,,,,
Oriental Land Co,,,,
Orion Corp.,FI0009014377,EI,,
Orion Group Hldgs Inc (Orion Marine),US68628V3087,DI,ORN,
ormat technologies,,,,
Orocobre,,,,
Orsero,,,,
Orsted A/S,,,,
OSG Corp,,,,
Otis Worldwide,,,,
Overseas Ship,,,,
Overstock Com,,,,
owl rock cap,,,,
Oxford Nanopore Tech,,,,
Paccar,,,,
Packaging Corp. of America,US6951561090,DI,PKG,
PagSeguro Digital Ltd.,KYG687071012,DI,PAGS,
Palantir Technologies Inc.,US69608A1088,DI,PLTR,
Palo Alto,US6974351057,DI,PANW,
Panasonic Corp.,JP3866800000,EI,,PCRFY
Pandora A/S,DK0060252690,DKI,,PANDY
Papa John's International,US6988131024,DI,PZZA,
Paradox Interactive,,,,
Paragon Care,,,,
Paramount Global,,,,
Park Hotels & Resorts,US7005171050,DI,PK,
Partners Group Holding AG,CH0024608827,CHI,,
Patriot Transportation Holding,US70338W1053,DI,PATI,
Patrizia SE,DE000PAT1AG3,EI,,
Patterson-UTI Energy Inc.,US7034811015,DI,PTEN,
Paul Hartmann AG Heidenheim,DE0007474041,EI,,
Paychex,US70450Y1038,DI,PAYX,
Paycom Software,,,,
Paylocity Hldg,,,,
Payoneer Global,,,PAYO,
PayPal Holdings Inc.,US70450Y1038,DI,PYPL,
PDD Holdings Inc. (ADRs) (Pinduoduo),US7223041028,DI,PDD,
Peloton Interactive Inc.,US70614W1009,DI,PTON,
Peninsula Energy Ltd.,AU000000PEN6,EI,,
Penn Entertainment,,,,
Penn Natl Gaming,,,,
Penske Automotive,,,,
Penumbra Inc.,US70975L1070,DI,PEN,
"PepsiCo, Inc.",US7134481081,DI,PEP,
Pernod-Ricard S.A.,FR0000120693,EI,,
"PetMed Express,Inc.",US7163821066,DI,PETS,
PetroChina Co. Ltd.,CNE1000003W8,DI,PTR,
Petroleo Brasileiro S.A. (ADRs) (Petrobras),US71654V4086,DI,PBR,
Pfeiffer Vauum Tech,DE0006916604,DI,,
Pfizer Inc,US7170811035,DI,PFE,
Philip Morris International Inc.,US7181721090,DI,PM,
Phillips 66,US7185461040,DI,PSX,
Pieris Pharmaceuticals,US7207951036,DI,PIRS,
Ping An Insurance Group Co. of China Ltd.,CNE1000003X6,EI,,PNGAY
Pinnacle Financial Partners,US72346Q1040,DI,PNFPP,
Pinnacle West Capital Corp.,US7234841010,DI,PNW,
pinterest inc,US72352L1061,DI,PINS,
Pirelli & C. S.p.A.,IT0005278236,EI,,
Plains all American Pipe,US7265031051,DI,PAA,
PlayAGS Inc,US72814N1046,DI,AGS,
PlayWay S.A.,PLPLAYW00015,EI,,
Plug Power Inc.,US72919P2020,DI,PLUG,
PNE AG,DE000A0JBPG2,EI,,
PNM Resources Inc.,US69349H1077,DI,PNM,
Polaris Industries Inc.,US7310681025,DI,PII,
Popular Inc.,PR7331747001,DI,BPOP,
Porsche AG (Dr. Ing. h.c. F.),DE000PAG9113,EI,,POAHY
Porsche Automobil Holding SE,DE000PAH0038,EI,,
POSCO,,,,
post holdings,US7374461041,DI,POST,
Potbelly Corp,,,,
Potlatchdeltic,,,,
Power Integrations,,,,
Powercell Sweden AB,,,,
PPL Corp.,US69351T1060,DI,PPL,
PREOS Real Estate AG,DE000A2LQ850,EI,,
ProCredit Holding AG & Co. KgaA,DE0006223407,EI,,PRRCF
Procter & Gamble,US7427181091,DI,PG,
Progress Software Corp.,US7433121008,DI,PRGS,
Progressive Corp.,US7433151039,DI,PGR,
Prologis,,,,
ProPetro Holding Corp,,,,
Prosperity Bancshares,,,,
Prosus,,,,
Prudential,,,,
PRYSMIAN S.P.A.,IT0004176001,EI,,
PSI Software AG,DE000A0Z1JH9,EI,,
PTC Inc.,US69370C1009,DI,PTC,
Public Service Enterprise Group Inc.,US7445731067,DI,PEG,
Public Storage,US74460D1090,DI,PSA,
Publicis Groupe S.A.,FR0000130577,EI,,PUBGY
Pulte Group Inc.,US7458671010,DI,PHM,
Puma SE,,,,
Pure Storage,,,,
PVA Tepla AG,,,,
Qiagen,,,,
Qorvo,,,,
Qualcomm,,,,
Qualys Inc,,,,
Quanta Services Inc.,US74762E1029,DI,PWR,
QuantumScape Corp,US74767V1098,DI,QS,
R1 RCM,US77634L1052,DI,RCM,
rai way,,,,
Raiffeisen Bank International AG,,,,
ralph lauren,,,,
Rational AG,,,,
Raymond James Fin’l,,,,
Raytheon Tech,,,,
RCI Hospitality Holdings,US74934Q1085,DI,RICK,
RCM Tech,US7493604000,DI,RCMT,
Realty Income,US7561091049,DI,O,
Reckitt Benckiser Group PLC,GB00B24CGK77,GPI,,RBGLY
Recruit Holdings,JP3970300004,EI,,RCRUY
Recticel S.A.,BE0003656676,EI,,
Redcare Pharmacy N.V.,NL0012044747,EI,,
Regeneron,US75886F1075,DI,REGN,
reinsurance group,,,,
Reliance Steel,,,,
renault,,,,
Renesas Electronics Corp.,JP3164720009,DI,,RNECY
renessaince holding,,,,
repsol,,,,
Republic Services,,,,
Resmed Inc.,US7611521078,DI,RMD,
Restaurant Grp,,,,
reynolds consumer,,,,
Rheinmetall,,,,
RIB Software,,,,
richardson el,,,,
richter gedeon,,,,
Rightmove PLC,GB00BGDT3G23,GPI,,RTMVY
Rio Tinto,GB0007188757,GPI,,RIO
Riot Platforms Inc.,US7672921050,DI,RIOT,
Rivian Auto,US76954A1034,DI,RIVN,
RLI Corp,US7496071074,DI,RLI,
Roblox Corp,US7710491033,DI,RBLX,
Roche,CH0012032048,CHI,,RHHBY
Rocket Pharmaceuticals Corp.,US77313F1066,DI,RCKT,
Rockwell Automation Inc.,US7739031091,DI,ROKU,
Roku,US77543R1023,DI,ROKU,
Rolls Royce Holdings PLC,GB00B63H8491,GPI,,RYCEF
Rosenbauer International AG,AT0000922554,EI,,
Ross Stores Inc.,US7782961038,DI,ROST,
Royal Bank of Canada,CA7800871021,DI,RY,
Royal Caribbean Cruises Ltd. ,US77543R1023,DI,RCL,
royal gold,US7802871084,DI,RGLD,
Royalty Pharma PLC,GB00BMVP7Y09,GPI,RPRX,
RPC Inc.,US7496601060,DI,RES,
RPM Intl. Inc.,US7496851038,DI,RPM,
RTL Group S.A.,LU0061462528,DI,,RGLXY
Rubis S.A.,FR0013269123,EI,,
RWE AG,DE0007037129,EI,,RWEOY
Ryanair Holdings PLC,IE00BYTBXV33,EI,,RYAAY
S(ü|ue|\xc3\xbc|\D)dzucker,DE0007297004,DI,,SUEZY
S&P Global (S+P),US78409V1044,DI,SPGI,
S&T Bancorp,US7838591011,DI,STBA,
Safe Bulkers,MHY7388L1039,DI,SB,
Safran SA,,,,
Sage Grp,,,,
saia,,,,
Saipem SpA,,,,
Salcef Group SPA,,,,
Salesforce.com,,,,
Salmar SA,,,,
Salzgitter AG,,,,
Samhalls.,,,,
Sampo OYJ,,,,
Samsung El,,,,
Samsung SDI,,,,
Sangamo Biosciences,US8006771062,DI,SGMO,
Sanlorenzo S.p.A.,IT0003549422,EI,,
Sanofi S.A.,FR0000120578,EI,SNY,
SANWA HOLDINGS CORP.,JP3344400001,DI,,
SAP,DE0007164600,EI,SAP,
Saras S.p.A. Raffinerie Sarde,IT0000433307,EI,,SAAFY
Sartorius AG,DE0007165607,EI,,
Savencia S.A.,FR0000120107,EI,,
SBF AG,DE000A2AAE22,EI,,
Scatec Solar ASA,NO0010715139,NKI,,
Schaeffler AG,DE000SHA0159,EI,,
Schlumberger Ltd. (SLB),AN8068571086,DI,SLB,
Schneider Electric SE,FR0000121972,EI,,SBGSY
Schoeller-Bleckmann Oilfield Equipment AG,AT0000946652,EI,,
Schrodinger,US80810D1037,DI,SDGR,
SCOR SE,FR0010411983,EI,,SCRYY
Scottish Mortgage Investment Trust PLC ,GB00BLDYK618,GPI,,
Scout24 AG,DE000A12DM80,EI,,
SCREEN HOLDINGS CO. LTD.,JP3494600004,DI,,
Sea Ltd.(ADRs),US81141R1005,DI,SEA,SE
Seaboard Corp.,US8115431079,DI,SEB,
Seagate Technology Hldgs.,IE00BKVD2N49,EI,STX,SGEN
Sealed Air,US81211K1007,DI,SEE,
SeaWorld Entertainment Inc.,US81282V1008,DI,SEAS,
Seche Environment,FR0000039109,EI,,
SECTRA AB (PUBL),SE0020539310,SKI,,
Secunet Security Networks AG,DE0007276503,EI,,SECVY
Sekisui Chemical Co. Ltd.,JP3419400001,EI,,SKSUY
Selective Insurance Group,US8163001071,DI,SIGI,
